frame_index,timestamp,hash
449,18.73,82d12d8bb34ccfcc
450,18.77,82d12d8ba36ccfcc
451,18.81,82d12d8ba36ccfcc
452,18.85,82d12d8ba36ccfcc
453,18.89,82d12d8ba36ccfcc
454,18.94,82d12d8ba36ccfcc
455,18.98,82d12d8ba36ccfcc
456,19.02,82d12d8bab6c4fcc
457,19.06,82d12d8bab6c4fcc
458,19.1,82d12d8ba36ccfcc
459,19.14,82d12d8bab6ccdcc
460,19.19,82d32d8bab4ccdcc
461,19.23,82d32d8bab4ccdcc
462,19.27,82d32d8bab4ccdcc
463,19.31,82d32d8bab4ccdcc
464,19.35,82d32d8bab4ccdcc
465,19.39,82d32d8bab4ccdcc
466,19.44,82d32d8bab4ccdcc
467,19.48,82d32d8bb34ccdcc
468,19.52,82d32d8bb34ccdcc
469,19.56,82d32d8bb34ccdcc
470,19.6,82d32d8bb34ccdcc
471,19.64,82d32d8bb34ccdcc
472,19.69,82d32d8bb34ccdcc
473,19.73,82d32d8bb34ccdcc
474,19.77,82d32d8bab4ccdcc
475,19.81,82d32d8bab4ccdcc
476,19.85,82d32d8bab4ccdcc
477,19.89,82d12d8bbb4ccdcc
478,19.94,82d32d8bb34ccdcc
479,19.98,82d32d8bb34ccdcc
480,20.02,82d32d8bb34ccdcc
481,20.06,82d32d8bb34ccdcc
482,20.1,82d32d8bb34ccdcc
483,20.15,82d32d8bb34ccdcc
484,20.19,82d32d8bb34ccdcc
485,20.23,82d32d8bb34ccdcc
486,20.27,82d32d8bb34ccdcc
487,20.31,82d32d8bb34ccdcc
488,20.35,82d32d8bb34ccdcc
489,20.4,82d32d8bb34ccdcc
490,20.44,82d32d8bb34ccdcc
491,20.48,82d32d8bb34ccdcc
492,20.52,82d32d8bb34ccdcc
493,20.56,82d32d8bb34ccdcc
494,20.6,82d12d8bbb4ccdcc
495,20.65,82d12d8bbb4ccdcc
496,20.69,82d12d8bb34ccfcc
497,20.73,82d12d8bab4ccfcc
498,20.77,80d12d8bab6ccfcc
499,20.81,80d12d8bbb6e47cc
500,20.85,80d12d8bbb6e47cc
501,20.9,80d12d8bab6e47ce
502,20.94,80d12d8bab6e47ce
503,20.98,80d12d8bbb6e47cc
504,21.02,80d12d8bbb6e47cc
505,21.06,80d12d8bab6e47ce
506,21.1,80d12d8bab6e4fcc
507,21.15,80d12d8bab6e4fcc
508,21.19,80d12d8bab6e4fcc
509,21.23,80d12d8bab6e4fcc
510,21.27,82d12d8bab6c4fcc
511,21.31,82d12d8bab6c4fcc
512,21.35,82d12d8bab6c4fcc
513,21.4,82d12d8bb36c4fcc
514,21.44,82d12d8bb36c4fcc
515,21.48,82d12d8bb36c4fcc
516,21.52,82d12d8bb36c4fcc
517,21.56,82d12d8bb36c4fcc
518,21.6,82d12d8bb36c4fcc
519,21.65,82d12d8bb36c4fcc
520,21.69,82d12d8bb36c4fcc
521,21.73,82d12d8bb36c4fcc
522,21.77,82d12d8bb36c4fcc
523,21.81,82d12d8bb36c4fcc
524,21.86,82d12d8bb36c4fcc
525,21.9,82d12d8bb36c4fcc
526,21.94,82d12d8bb36c4fcc
527,21.98,82d12d8bb36c4fcc
528,22.02,82d12d8bb36c4fcc
529,22.06,82d12d8bb36c4fcc
530,22.11,82d12d8bb36c4fcc
531,22.15,82d12d8bb36c4fcc
532,22.19,82d12d8ba36ccfcc
533,22.23,82d12d8bab4ccfcc
534,22.27,82d12d8bab4ccfcc
535,22.31,82d12d8bab4ccfcc
536,22.36,82d12d8bab4ccfcc
537,22.4,82d12d8bab6ccecc
538,22.44,82d12d8bab6c4fcc
539,22.48,82d12d8bab6c4fcc
540,22.52,82d12d8bab6c4fcc
541,22.56,82d12d8bab6c4fcc
542,22.61,82d12d8bab6c4fcc
543,22.65,82d12d8bab6c4fcc
544,22.69,82d12d8bab6c4fcc
545,22.73,82d12d8bab6c4fcc
546,22.77,82d12d8bab6c4fcc
547,22.81,82d12d8bab6c4fcc
548,22.86,82d12d8bab6c4fcc
549,22.9,82d12d8bab6c4fcc
550,22.94,82d12d8bab6c4fcc
551,22.98,82d12d8bab4ccfcc
552,23.02,82d12d8bab4ccfcc
553,23.06,82d12d8bab4ccfcc
554,23.11,82d12d8bab4ccfcc
555,23.15,82d12d8bab4ccfcc
556,23.19,82d12d8bab4ccfcc
557,23.23,82d12d8bab4ccfcc
558,23.27,82d12d8bab4ccfcc
559,23.31,82d12d8bab4ccfcc
560,23.36,82d12d8bab4ccfcc
561,23.4,82d12d8bab4ccfcc
562,23.44,82d12d8bab4ccfcc
563,23.48,82d12d8bab4ccfcc
564,23.52,82d12d8bab4ccfcc
565,23.57,82d12d8bab4ccfcc
566,23.61,82d12d8ba36ccfcc
567,23.65,82d12d8ba36ccfcc
568,23.69,82d12d8bab6ccdcc
569,23.73,82d12d8bab6ccdcc
570,23.77,82d12d8bab6ccdcc
571,23.82,82d12d8bab6ccdcc
572,23.86,82d12d8bab6ccdcc
573,23.9,82d12d8bab4ccfcc
574,23.94,82d12d8bab4ccfcc
575,23.98,82d12d8bab4ccfcc
576,24.02,82d12d8bab4ccfcc
577,24.07,82d12d8beb4ccdcc
578,24.11,82d12d8beb4ccdcc
579,24.15,82d12d8beb4ccdcc
580,24.19,82d12d8bab4ccfcc
581,24.23,82d12d8bab4ccfcc
582,24.27,82d12d8bab4ccfcc
583,24.32,82d12d8bab4ccfcc
584,24.36,82d12d8bab4ccfcc
585,24.4,82d12d8bab4ccfcc
586,24.44,82d12d8bab4ccfcc
587,24.48,82d12d8bab4ccfcc
588,24.52,82d12d8bab6ccdcc
589,24.57,82d12d8bab6ccdcc
590,24.61,82d12d8bab6ccdcc
591,24.65,82d12d8bab6ccdcc
592,24.69,82d32d8bab4ccdcc
593,24.73,82d32d8bab4ccdcc
594,24.77,82d32d8bab4ccdcc
595,24.82,82d32d8bab4ccdcc
596,24.86,82d32d8bab4ccdcc
597,24.9,82d32d8bab4ccdcc
598,24.94,82d32d8bab4ccdcc
599,24.98,82d32d8bab4ccdcc
600,25.02,82d32d8bab4ccdcc
601,25.07,82d32d8bab4ccdcc
602,25.11,82d32d8bab4ccdcc
603,25.15,82d32d8bab4ccdcc
604,25.19,82d32d8bab4ccdcc
605,25.23,82d32d8bab4ccdcc
606,25.28,82d32d8bab4ccdcc
607,25.32,82d12d8bab4ccfcc
608,25.36,82d32d8bab4ccecc
609,25.4,82d32d8bab4ccecc
610,25.44,82d32d8bab4ccecc
611,25.48,82d32d8ba34ccfcc
612,25.53,82d33d8ba34ccecc
613,25.57,82d33d8ba34ccecc
614,25.61,82d33d8ba34ccecc
615,25.65,82d33d8ba34ccecc
616,25.69,82d33d8ba34c4fcc
617,25.73,82d33d8ba34c4fcc
618,25.78,82d33d8ba34c4fcc
619,25.82,82d33d8ba34c4fcc
620,25.86,82d33d8ba34c4fcc
621,25.9,82d33d8ba34c4fcc
622,25.94,82d33d8ba34c4fcc
623,25.98,82d33d8ba34c4fcc
624,26.03,82d33d8ba34c4fcc
625,26.07,82d33d8ba34ccecc
626,26.11,82d33d8ba34ccecc
627,26.15,82d33d8ba34ccecc
628,26.19,82d33d8ba34ccecc
629,26.23,82d33d8ba34ccecc
630,26.28,82d33d8ba34ccecc
631,26.32,82d33d8ba34ccecc
632,26.36,82d33d8ba34ccecc
633,26.4,82d33d8ba34ccecc
634,26.44,82d33d8ba34ccecc
635,26.48,82d33d8ba34ccecc
636,26.53,82d33d8ba34ccecc
637,26.57,82d33d8ba34ccecc
638,26.61,82d33d8ba34ccecc
639,26.65,82d33d8ba34ccecc
640,26.69,82d33d8ba34ccecc
641,26.74,82d33d8ba34ccecc
642,26.78,82d32d8ba34ccfcc
643,26.82,82d32d8ba34ccfcc
644,26.86,82d32d8bab4ccecc
645,26.9,82d32d8bab4ccecc
646,26.94,82d32d8bab4ccecc
647,26.99,82d12d8bab6ccecc
648,27.03,82d12d8bab6ccecc
649,27.07,82d12d8bab6ccecc
650,27.11,82d12d8bab6ccecc
651,27.15,82d12d8bab6ccecc
652,27.19,82d12d8bab6ccecc
653,27.24,82d12d8bab6ccecc
654,27.28,82d12d8bab6ccecc
655,27.32,82d12d8bab6ccecc
656,27.36,82d12d8bab6ccecc
657,27.4,82d12d8bab6ccecc
658,27.44,82d12d8bab6ccecc
659,27.49,82d12d8bab6ccecc
660,27.53,82d12d8bab6ccecc
661,27.57,82d32d8bab4ccecc
662,27.61,82d32d8bab4ccecc
663,27.65,82d32d8bab4ccecc
664,27.69,82d32d8bab4ccecc
665,27.74,82d32d8bab4ccecc
666,27.78,82d32d8bab4ccecc
667,27.82,82d32d8bab4ccecc
668,27.86,82d32d8bab4ccecc
669,27.9,82d32d8bab4ccecc
670,27.94,82d32d8bab4ccecc
671,27.99,82d32d8bab4ccecc
672,28.03,82d32d8bab4cccec
673,28.07,82d32d8bab4cccec
674,28.11,82d32d8bab4cccec
675,28.15,82d32d8bab4cccec
676,28.19,82d32d8bab4cccec
677,28.24,82d32d8bab4ccdcc
678,28.28,82d32d8bab4ccecc
679,28.32,82d32d8bab4ccecc
680,28.36,82d32d8bab4ccecc
681,28.4,82d32d8bab4ccecc
682,28.45,82d32d8bab4ccecc
683,28.49,82d32d8bab4ccecc
684,28.53,82d32d8bab4ccecc
685,28.57,82d32d8ba34ccfcc
686,28.61,82d32d8ba34ccfcc
687,28.65,82d32d8ba34ccfcc
688,28.7,82d32d8bab4ccdcc
689,28.74,82d32d8bab4ccdcc
690,28.78,82d32d8bab4ccdcc
691,28.82,82d32d8bab4ccdcc
692,28.86,82d32d8bab4ccdcc
693,28.9,82d32d8bab4ccdcc
694,28.95,82d32d8bab4ccdcc
695,28.99,82d32d8bab4ccdcc
696,29.03,82d32d8bab4ccdcc
697,29.07,82d32d8bab4ccdcc
698,29.11,82d32d8bab4ccdcc
699,29.15,82d32d8bab4ccdcc
700,29.2,82d32d8bab4ccdcc
701,29.24,82d32d8bab4ccdcc
702,29.28,82d33d8ba34ccdcc
703,29.32,82d33d8ba34ccdcc
704,29.36,82d33d8ba34ccdcc
705,29.4,82d33d8ba34ccdcc
706,29.45,82d33d8ba34ccdcc
707,29.49,82d33d8ba34ccdcc
708,29.53,82d33d8ba34ccdcc
709,29.57,82d33d8ba34ccdcc
710,29.61,82d33d8ba34ccdcc
711,29.65,82d33d8ba34ccdcc
712,29.7,82d33d8ba34ccdcc
713,29.74,82d33d8ba34ccdcc
714,29.78,82d33d8ba34ccdcc
715,29.82,82d33d8bab4ccccc
716,29.86,82d33d8bab4ccccc
717,29.9,82d33d8bab4ccccc
718,29.95,82d33d8bab4ccccc
719,29.99,82d33d8bab4ccccc
720,30.03,82d33d8bab4ccccc
721,30.07,82d33d8bab4ccccc
722,30.11,82d33d8ba34ccdcc
723,30.16,82d33d8ba34ccdcc
724,30.2,82d33d8ba34ccdcc
725,30.24,82d33d8ba34ccdcc
726,30.28,82d33d8ba34ccdcc
727,30.32,82d33d8ba34ccdcc
728,30.36,82c33d8bab4ccdcc
